,Globalcount,iso,Countryname,Totalcount
0,15.093963621081151,GBR,United Kingdom,261424930
1,15.079209189150193,USA,United States,549862567
2,13.619594052272937,BRA,Brazil,17105107
3,12.172451785050054,ESP,Spain,9449111
4,13.274978264263478,AUT,Austria,5838240
5,12.135457910941962,ITA,Italy,15477303
6,13.687993742108285,AUS,Australia,27477513
7,13.174459966053838,NLD,Netherlands,16493107
8,13.962625967183603,IRL,Ireland,8365666
9,13.368838594395836,DEU,Germany,69225279
10,14.166470515088177,CAN,Canada,50438059
11,12.982133324352095,DNK,Denmark,8325818
12,12.905075886069724,RUS,Russia,16330166
13,13.061681925999567,CHE,Switzerland,4471567
14,11.992772406958371,JPN,Japan,29099293
15,13.890643324132519,SWE,Sweden,54129996
16,12.96572466623956,FIN,Finland,28166836
17,12.370396627738643,BEL,Belgium,6528652
18,13.728975840271003,NOR,Norway,18968367
19,-inf,ATA,Antarctica,507
20,11.839807464619936,HUN,Hungary,1752125
21,11.535440357725122,CZE,Czech Republic,2597297
22,9.52421520263412,KHM,Cambodia,6627
23,10.104859045093203,LVA,Latvia,493337
24,12.355280965154318,ISR,Israel,1666239
25,12.425677625479697,NZL,New Zealand,4318882
26,12.30901916270608,ZAF,South Africa,1826781
27,13.27461615883368,UKR,Ukraine,2685511
28,13.52411216473349,POL,Poland,20450934
29,12.81907292597516,FRA,France,34542468
30,-inf,CCK,Cocos (Keeling) Islands,0
31,11.700572859075741,SRB,Serbia,465963
32,13.371812361614147,MEX,Mexico,3837295
33,14.876632757836214,ISL,Iceland,6527884
34,10.731743290707842,BGR,Bulgaria,180253
35,11.46522753619574,PRT,Portugal,1515452
36,-inf,STP,Sao Tome and Principe,68
37,12.525736552099298,ARG,Argentina,2942544
38,10.44471912073858,NIC,Nicaragua,9756
39,-inf,CYM,Cayman Islands,9127
40,11.422196823945894,SVN,Slovenia,579037
41,14.247239221713167,LUX,Luxembourg,486168
42,-inf,UMI,United States Minor Outlying Islands,0
43,-inf,TWN,"Taiwan, Province of China",1019443
44,8.135196236653442,MDG,Madagascar,5623
45,-inf,CXR,Christmas Island,0
46,-inf,SJM,Svalbard and Jan Mayen,0
47,10.73825125823225,TUR,Turkey,1569825
48,12.462133002656943,AZE,Azerbaijan,50783
49,9.536480359683608,THA,Thailand,37131
50,12.310253677103026,CHL,Chile,1152873
51,9.686119858814855,LBN,Lebanon,37894
52,10.280033254734153,EST,Estonia,966094
53,7.029509882272475,AFG,Afghanistan,4050
54,14.710940926893278,LIE,Liechtenstein,53637
55,13.28084908261281,BLR,Belarus,865871
56,11.19991193070266,HRV,Croatia,451659
57,11.253508613071569,LTU,Lithuania,498051
58,11.657836291603632,GRC,Greece,2814340
59,10.663939248609667,CRI,Costa Rica,45428
60,9.745341783607113,IND,India,321005
61,11.537825059241825,MNE,Montenegro,11893
62,-inf,NRU,Nauru,0
63,-inf,FSM,Micronesia (Federated States of),0
64,8.978710459106358,BFA,Burkina Faso,3027
65,10.5910896727424,PER,Peru,206700
66,11.011506820396688,ARE,United Arab Emirates,10322
67,11.225556285531196,SVK,Slovakia,727952
68,-inf,NIU,Niue,39
69,11.002358430874704,IDN,Indonesia,748743
70,13.178778697950706,COL,Colombia,1520728
71,10.865613920849658,PHL,Philippines,278011
72,12.61126545335714,ROU,Romania,1576775
73,11.159335270944979,CYP,Cyprus,45743
74,-inf,HMD,Heard Island and McDonald Islands,0
75,12.04279935168146,SGP,Singapore,189870
76,11.407687058893515,VEN,Venezuela,258095
77,-inf,KIR,Kiribati,0
78,-inf,REU,R̩union,0
79,10.620055301982099,MKD,Macedonia,61379
80,11.198644549311515,MYS,Malaysia,188026
81,-inf,VAT,Holy See,225
82,12.96456753339429,KOR,South Korea,5219596
83,8.874981347653774,MWI,Malawi,939
84,11.12936352223451,KAZ,Kazakhstan,35842
85,8.161933475677566,HTI,Haiti,6301
86,9.867813324205065,VNM,Vietnam,72879
87,-inf,PRK,North Korea,215
88,6.518325307690866,MUS,Mauritius,550
89,-inf,HKG,Hong Kong,0
90,11.19881629488264,CHN,China,684026
91,10.313013817912308,TTO,Trinidad and Tobago,33075
92,-inf,ASM,American Samoa,0
93,-inf,ESH,Western Sahara,5350
94,-inf,NCL,New Caledonia,0
95,10.402366967899153,DZA,Algeria,51429
96,10.541012417092132,PAN,Panama,34268
97,12.011270941021552,BRB,Barbados,33025
98,-inf,OMN,Oman,341
99,10.705504398092266,EGY,Egypt,90172
100,-inf,GUM,Guam,0
101,12.404195433567436,GTM,Guatemala,48784
102,11.283374979503892,IRN,Iran,256727
103,-inf,IOT,British Indian Ocean Territory,0
104,10.592117219803104,PSE,Palestine,16980
105,-inf,MDV,Maldives,891
106,10.995968996983887,JOR,Jordan,14296
107,9.18453727728497,ZWE,Zimbabwe,12801
108,9.842350343413807,GHA,Ghana,44064
109,12.777697098588646,URY,Uruguay,280886
110,-inf,PRI,Puerto Rico,0
111,3.700439718141092,FJI,Fiji,13
112,11.034569726850895,BIH,Bosnia and Herzegovina,37758
113,12.5713734359732,DOM,Dominican Republic,91296
114,-inf,SGS,South Georgia and the South Sandwich Islands,0
115,11.572463389083676,TJK,Tajikistan,6091
116,-inf,VGB,Virgin Islands (British),18633
117,7.699051844016849,BWA,Botswana,1039
118,-inf,WSM,Samoa,4939
119,-inf,VIR,Virgin Islands (U.S.),21131
120,15.003188472013191,AND,Andorra,65681
121,-inf,PYF,French Polynesia,0
122,11.397999252461831,ARM,Armenia,75561
123,11.688368006724673,GEO,Georgia,85807
124,12.000586914714937,MLT,Malta,98344
125,11.04349727946578,BOL,Bolivia,33771
126,11.985765393216598,CUB,Cuba,640814
127,8.004688645793628,KGZ,Kyrgyzstan,1541
128,2.807354922057604,BRN,Brunei,7
129,9.284631342519628,UZB,Uzbekistan,5613
130,-inf,TUV,Tuvalu,2
131,13.921794457748437,CIV,Ivory Coast,62078
132,9.649974651158104,ALB,Albania,12051
133,11.319725035727792,BGD,Bangladesh,81795
134,5.321928094887363,SYC,Seychelles,40
135,8.122396631359727,TGO,Togo,1672
136,10.670567737505118,ECU,Ecuador,32598
137,-inf,LAO,Lao People's Democratic Republic,472
138,-inf,SLV,El Salvador,462
139,7.303780748177103,VUT,Vanuatu,158
140,9.083922483545091,HND,Honduras,1628
141,14.206283982401674,MDA,Moldova,132317
142,-inf,GLP,Guadeloupe,0
143,11.144020869266893,BDI,Burundi,2263
144,13.34468229234188,TUN,Tunisia,145639
145,10.792824179074142,KEN,Kenya,42577
146,10.34793767969435,ZMB,Zambia,9123
147,8.720122084002792,LKA,Sri Lanka,2952
148,7.714245517666122,BTN,Bhutan,210
149,-inf,SUR,Suriname,663
150,13.500688398850416,JAM,Jamaica,4126313
151,11.115355831721113,MAR,Morocco,55462
152,-inf,COD,"Congo, Democratic Republic of the",30981
153,9.087462841250339,YEM,Yemen,544
154,-inf,SHN,"Saint Helena, Ascension and Tristan da Cunha",0
155,10.62296694479051,GRD,Grenada,3154
156,-inf,DJI,Djibouti,0
157,-inf,GIB,Gibraltar,25
158,8.247927513443585,UGA,Uganda,2128
159,11.329876405653687,SAU,Saudi Arabia,18019
160,9.34485068394299,MNG,Mongolia,5202
161,8.838687303989868,AGO,Angola,27928
162,11.316658657624956,BHS,Bahamas,22956
163,4.392317422778761,TCD,Chad,21
164,10.132928083266124,PRY,Paraguay,6737
165,13.866916668957897,FRO,Faroe Islands,239044
166,-inf,WLF,Wallis and Futuna,0
167,-inf,LSO,Lesotho,157
168,-inf,SPM,Saint Pierre and Miquelon,0
169,-inf,MMR,Myanmar,3764
170,10.125413470483315,PAK,Pakistan,46914
171,-inf,PNG,Papua New Guinea,317
172,9.041659151637214,NPL,Nepal,6851
173,14.731743290707842,SMR,San Marino,27208
174,10.082947360127847,MOZ,Mozambique,5423
175,7.477758266443888,GAB,Gabon,713
176,-inf,MSR,Montserrat,1120
177,10.865604407018804,ETH,Ethiopia,33585
178,10.390706372872774,SYR,Syria,18795
179,-inf,TON,Tonga,0
180,-inf,CPV,Cabo Verde,81476
181,10.954014507722544,GRL,Greenland,7935
182,8.665335917185176,SLE,Sierra Leone,1218
183,-inf,SWZ,Eswatini,25
184,-inf,MHL,Marshall Islands,4
185,-inf,ATF,French Southern Territories,0
186,-inf,BVT,Bouvet Island,0
187,-inf,TLS,Timor-Leste,68
188,-inf,KNA,Saint Kitts and Nevis,128
189,11.084144010615145,KWT,Kuwait,2171
190,10.203755831969302,SOM,Somalia,3538
191,-inf,ABW,Aruba,0
192,-inf,MAC,Macao,0
193,-inf,MTQ,Martinique,0
194,-inf,MNP,Northern Mariana Islands,0
195,12.52596933856888,NER,Niger,35387
196,8.600738891474448,IRQ,Iraq,3494
197,6.913744266649581,COG,Congo,844
198,-inf,COK,Cook Islands,0
199,-inf,COM,Comoros,483
200,10.200285605224298,TZA,Tanzania,18824
201,16.254548870715094,BMU,Bermuda,78182
202,9.469641817239516,LBY,Libya,1418
203,11.692397555468485,NGA,Nigeria,244903
204,9.943817164606877,GIN,Guinea,17728
205,9.129283016944967,LBR,Liberia,560
206,-inf,PLW,Palau,0
